IncomeKs,Sqft,SecuritySystemOwner
130.5,4743.6,owner
117.45,4554.8,owner
76.5,4422,owner
97.2,4341.6,owner
111.78,4323.2,owner
68.85,4246,owner
92.25,4180.8,owner
87.48,4168.8,owner
103.5,4020,owner
121.5,4020,owner
83.025,4014.4,owner
93.15,3860,owner
109.35,3860,owner
165.15,3859.2,owner
90,3698.4,owner
81,3551.2,owner
162,3537.6,owner
145.8,3396.8,owner
128.25,3376.8,owner
115.425,3242.4,owner
124.2,2780,owner
148.635,2630,owner
139.5,2430,owner
125.55,2260,owner
61.62,4360,nonowner
66.3,4100,nonowner
68.64,3120,nonowner
66,3120,nonowner
56.16,3060,nonowner
54,3060,nonowner
97.5,2940,nonowner
93.75,2940,nonowner
42.9,2820,nonowner
41.25,2820,nonowner
85.8,2760,nonowner
82.5,2760,nonowner
109.2,2640,nonowner
63.96,2640,nonowner
105,2640,nonowner
61.5,2640,nonowner
84.24,2580,nonowner
81,2580,nonowner
59.25,2460,nonowner
77.22,2400,nonowner
74.25,2400,nonowner
81.9,2220,nonowner
78.75,2220,nonowner
63.75,2100,nonowner
